"Reporting Year Identifier","Last Name","First Name","Middle Initial","Street Address","Country Code","Gender","Grade Level","ACT ID/SSN","Phone Type","Date of Birth","Phone Number","City","State Code","State","Zip","Expanded Date of Birth","Combined English/Writing Score","Writing Subscore","National Norms","Comments on Essay","ACT Score Before 10/89","State-Assigned Student ID","High School Code","High School English Grades","High School Math Grades","High School Social Studies Grades","High School Science Grades","High School Average","High School Grad Year","Expanded Test Date","Test Date","Test Location","Canadian Province","Canadian Postal Code","Corrected Report Indicator","ACT English Score","ACT Math Score","ACT Reading Score","ACT Science Score","ACT Composite Score","Sum of Scale Scores","Science Interest","Arts Interest","Social Service Interest","Business Contact Interest","Business Operations Interest","Technical Interest","Map Region 1","Map Region 2","Map Region 3","College Choice Number","College Code","Usage/Mech Subscore","Rhetorical Skills Subscore","Elem Algebra Subscore","Alg/Coord Geom Subscore","Plane Geom/Trig Subscore","Soc Stud/Sci Subscore","Arts/Lit Subscore","Usage/Mech National Norm","Rhetorical Skills National Norm","Elem Algebra National Norm","Alg/Coord Geom National Norm","Plane Geom/Trig National Norm","Soc Stud/Sci National Norm","Arts/Lit National Norm","Usage/Mech Local Norm","Rhetorical Skills Local Norm","Elem Algebra Local Norm","Alg/Coord Geom Local Norm","Plane Geom/Trig Local Norm","Soc Stud/Sci Local Norm","Arts/Lit Local Norm","Science Interest Percentile","Arts Interest Percentile","Social Service Interest Percentile","Business Contact Interest Percentile","Business Operations Interest Percentile","Technical Interest","Local ID Number","Mobility Index","Institution Type Index","Selectivity Index","Institution Size Index","Interest Major Fit Index","Student Profile Section","Email","EOS Release","Religious Affiliation","Hispanic/Latino","Am Indian/AK Native","Asian","Black/African American","Hawaiian/Pacific","White","Pref no response","Multiracial","Eng 9 Taken/Planned","Eng 10 Taken/Planned","Eng 11 Taken/Planned","Eng 12 Taken/Planned","Eng Other Taken/Planned","Algebra 1 Taken/Planned","Algebra 2 Taken/Planned","Geometry Taken/Planned","Trig Taken/Planned","Calculus Taken/Planned","Other Math Taken/Planned","Computer Taken/Planned","Gen Sci Taken/Planned","Biology Taken/Planned","Chem Taken/Planned","Physics Taken/Planned","US Hist Taken/Planned","World Hist Taken/Planned","Other Hist Taken/Planned","Government Taken/Planned","Economics Taken/Planned","Geography Taken/Planned","Psychology Taken/Planned","Spanish Taken/Planned","French Taken/Planned","German Taken/Planned","Other Lang Taken/Planned","Art Taken/Planned","Music Taken/Planned","Drama Taken/Planned","Eng 9 Grade","Eng 10 Grade","Eng 11 Grade","Eng 12 Grade","Eng Other Grade","Algebra 1 Grade","Algebra 2 Grade","Geometry Grade","Trig Grade","Calculus Grade","Other Math Grade","Computer Grade","Gen Sci Grade","Biology Grade","Chem Grade","Physics Grade","US Hist Grade","World Hist Grade","Other Hist Grade","Government Grade","Economics Grade","Geography Grade","Psychology Grade","Spanish Grade","French Grade","German Grade","Other Lang Grade","Art Grade","Music Grade","Drama Grade","State Assigned ID","College Predicative Information","English Scale Score National Norm","Math Scale Score National Norm","Reading Scale Score National Norm","Science Scale Score National Norm","Composite Scale Score National Norm","Norms Type"
"14","KELZENBERG               ","ANNE            ","C","2443 75TH ST                            ","  ","4M","11","-91400004","1","082091","3191234567","RAWDAT RASID             ","55","FN","         ","19910820","21","08","5586","33      ","          ","             ","500282","  ","  ","  ","  ","---","2009","200805","0508","S","  ","       "," ","21","25","18","22","22","086","--","--","- ","--","- ","--","--","--","--","","1356","10","12","12","14","12","11","06","56","71","66","92","72","59","16","31","48","39","81","44","34","04","--","--","--","--","--","--","        ","13","12","14","16","66","1  1 311  581581   223  1                              1  1  112966 51511          9 674152314  7368684       1            1                      1   ","                                                  ","1","01","2"," ","2"," "," "," "," "," ","1","1","2","2","3","1","1","1","2","3","2","3","3","1","1","2","1","1","1","2","2","3","3","1","3","3","3","3","3","3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","          ","2955113030------------------------------------------------------------","57","79","35","63","62","0"
"14","WITTENBERG               ","ROBIN           ","E","27 QUOTE "" AVE                          ","CA","6F","11","914000024","1","      ","3191234567","EDMONTON                 ","53","  ","         ","        ","--","--","----","--------","          ","9742266215   ","242125","  ","  ","  ","  ","---","2015","201405","0514","S","AB","W3V 9Q6"," ","29","32","34","27","31","122","40","44","3 ","34","3 ","38","04","11","  ","","1356","17","14","18","16","15","17","18","96","86","99","98","95","97","99","94","74","99","95","89","95","99","17","26","23","06","24","12","        ","50","62","39","22","54","1  1 311  606526   223  1  1    1             1           1 1111763 417111624      95451263715 17388888     1111  1    1        1   11              1 ","                                                  ","1","26","3"," "," ","3"," ","5"," "," ","1","1","1","2","3","1","1","1","1","2","2","3","1","1","1","2","1","1","3","1","2","3","2","1","3","3","3","3","1","3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","9742266215","8494987895------------------------------------------------------------","91","97","99","91","97","0"
"14","GEORGE                   ","TOM             ","E","P.O. BOX 123                            ","US","4M","11","-91400002","1","      ","          ","NEW YORK CITY            ","16","IA","52241    ","        ","30","10","9599","34      ","          ","             ","500500","38","35","40","40","381","2013","201205","0512","S","  ","       "," ","30","24","36","32","31","122","59","62","2 ","60","9 ","61","99","  ","  ","","1356","15","16","12","12","13","18","18","88","98","66","74","82","99","99","81","97","39","49","60","99","99","81","89","89","83","45","87","        ","26","30","25","20","  ","1  1 311  252252   115  1                    1               113534 212115024      84643251714 1735555 8      11 1  1   1     1 1 1111              1 ","GEORGE.TOM@YAHOO.COM                              ","1","25","2","1"," "," "," "," "," "," ","1","1","1","2","1","1","1","1","3","2","1","3","1","1","1","2","1","1","3","1","2","3","1","3","3","1","3","3","1","3","3","4","4"," ","4","3","3","4"," "," ","4"," ","4","4","4"," ","4","4"," ","4"," "," ","4"," "," ","4"," "," ","4"," ","          ","8846999595------------------------------------------------------------","93","74","99","98","97","0"
"14","GRAY                     ","BARB            ","A","                                        ","MX","6F","11","-91400013","1","061198","1987654321","MEXICO CITY              ","55","FN","         ","19980611","--","--","----","--------","          ","             ","162700","40","40","40","37","392","2016","201512","1215","Z","  ","       "," ","23","26","24","28","25","101","39","51","3 ","43","6 ","47","11","12","01","","1356","12","11","14","12","14","12","13","71","60","81","74","90","69","71","52","32","60","49","77","47","54","13","52","61","24","35","38","        ","05","03","15","18","  ","1  1 311  899899   226          1                            113522 5 3111616      93473251613 17466666             1                                 ","GRAY.BARB@YAHOO.COM                               ","1","16","2"," "," "," "," ","5"," "," ","1","1","1","2","1","1","1","1","3","2","1","3","1","1","1","3","1","1","1","1","3","3","1","1","3","3","3","2","3","3","4","4","4"," ","4","4","4","4"," "," ","4"," ","4","4","3"," ","4","4","4","4"," "," ","4","4"," "," "," "," "," "," ","          ","4564498458------------------------------------------------------------","68","84","71","93","79","0"
"14","MILLER                   ","PENNY           ","K","3118 RAVEN ST                           ","US","4M","10","-91400014","1","051996","3191234567","IOWA CITY                ","16","IA","52240    ","19960519","--","--","----","--------","          ","             ","162172","40","30","40","35","363","2014","201202","0212","Z","  ","       "," ","32","26","36","36","33","130","66","57","9 ","49","3 ","55","09","10","11","","1356","16","16","14","13","14","18","18","92","98","81","83","90","99","99","89","97","60","65","77","99","99","94","77","82","46","24","70","        ","24","11","19","22","  ","1  1 311  895890   234  1   1  11              1        1   1112967 413112148      9 453672115 17388886     111111 1       11   11 1              1 1 ","HELD.PENNY@YAHOO.COM                              ","1","01","2"," "," "," "," ","5"," "," ","1","1","1","2","3","1","1","1","1","3","2","3","3","1","1","2","1","3","1","1","2","3","2","1","3","3","3","2","1","3","4","4","4"," "," ","3","3","3","3"," "," "," "," ","4","3"," ","4"," ","4","4"," "," "," ","4"," "," "," "," ","4"," ","          ","9364999998------------------------------------------------------------","96","84","99","99","99","0"
"14","FOUNTAIN                 ","ERIN            ","D","118 WALFORD AVE                         ","US","4M","11","914000025","1","123194","8199999999","DENVER                   ","51","WY","82718    ","19941231","23","06","6937","32      ","          ","             ","242217","40","40","40","40","400","2012","201104","0411","Z","  ","       "," ","26","31","32","35","31","124","80","51","3 ","52","4 ","46","08","09","  ","","1356","14","13","18","15","15","18","14","83","79","99","95","95","99","77","72","63","99","89","89","99","63","99","52","61","59","65","33","        ","18","15","22","17","91","1  1 311  545545   224  1     111                            112876 513112455      95364271523 17388888     1111 1      1       1   1            1  1 ","                                                  ","1","34","2"," "," "," "," ","5"," "," ","1","1","1","2","3","1","1","1","1","2","3","1","1","1","1","2","1","1","3","2","2","3","3","1","3","3","3","3","1","3","4","4","4"," "," ","4","4","4","4"," "," ","4","4","4","4"," ","4","4"," "," "," "," "," ","4"," "," "," "," ","4"," ","          ","6990919995------------------------------------------------------------","82","96","95","99","97","0"
"14","JONGS                    ","ED              ","D","                                        ","US","4M","14","-91400024","1","      ","          ","HOUSTON                  ","16","IA","522013834","        ","29","08","9386","3342    ","          ","             ","242217","40","40","40","40","400","2008","201006","0610","R","  ","       "," ","31","29","31","31","31","122","80","51","3 ","52","4 ","46","08","09","  ","","1356","17","15","17","14","15","17","14","96","92","96","92","95","97","77","94","87","91","81","89","95","63","99","52","61","59","65","33","        ","05","04","13","12","  ","1  1 311  545545   224  1     111                            112876 513112455      95364271523 17388888     111111      1       1   1            1  1 ","JONGS.ED@YAHOO.COM                                ","1","34","2"," "," "," "," ","5"," "," ","1","1","1","2","3","1","1","1","1","2","3","1","1","1","1","2","1","1","3","2","2","3","3","1","3","3","3","3","1","3","4","4","4"," "," ","4","4","4","4"," "," ","4","4","4","4"," ","4","4"," "," "," "," "," ","4"," "," "," "," ","4"," ","          ","9184889495------------------------------------------------------------","94","93","93","98","97","0"
"14","SMITH                    ","GWEN            ","B","BOX #1292                               ","US","6F","10","-91400018","2","031597","3191234567","VESTAL                   ","33","NY","13851    ","19970315","36","12","9999","2526    ","          ","             ","052527","  ","  ","  ","  ","---","2015","201309","0913","R","  ","       "," ","36","27","34","31","32","128","63","61","0 ","68","3 ","58","12","01","02","","1356","18","18","15","14","14","18","17","99","99","87","92","90","99","97","99","99","70","81","77","99","95","91","86","99","96","90","80","        ","33","09","24","25","66","1  1 311  770770   115        1 1               1  1      1 1212977 513215555      9 354761232 17388784     111     1  1   1  1 1  1   1              ","KAS.GWE.N@YAHOO.COM                               ","1","01","2"," "," "," "," ","5"," "," ","1","1","1","2","2","1","1","1","1","2","1","1","1","1","1","1","1","1","2","3","3","1","1","1","3","3","3","1","2","2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","          ","9973989497------------------------------------------------------------","99","88","99","98","98","0"
"14","KRA'LL                   ","DON             ","H","100 E A ST @ APT 1                      ","US","4M","15","-91400025","2","022493","3191234567","CASPER                   ","51","WY","82601    ","19930224","--","--","----","--------","          ","             ","142955","40","40","40","40","400","2011","201406","0614","R","  ","       "," ","28","31","26","33","30","118","63","54","7 ","51","1 ","53","08","09","10","","1356","16","14","17","14","16","14","13","92","86","96","92","98","82","71","89","74","91","81","96","66","54","91","67","40","53","55","60","        ","42","32","28","18","70","1  1 311  552552   114 111111 11               1       1  1 122 977 513111405      95264351716 1735555 4    1111 1 1       1                      11  ","KRA'LL.DO'N@YAHOO.COM                             ","1","01","2"," "," "," "," ","5"," "," ","1","1","1","2","3","1","1","1","3","2","3","3","3","1","1","1","1","1","3","2","2","3","3","3","3","1","3","3","1","3","4","4","4"," "," ","4","4","4"," "," "," "," "," ","4","4","4","4","4"," "," "," "," "," "," "," ","4"," "," ","4"," ","          ","8190629791------------------------------------------------------------","88","96","78","99","95","0"
"14","LYONS                    ","EMBED SPACE     ","E","800 AVENUE %BOB LYONS                   ","US","4M","15","-91400020","1","031394","3191234567","COUNCIL BLUFFS           ","16","IA","515031267","19940313","26","08","8486","3353    ","          ","             ","140027","35","33","35","30","331","2012","201505","0515","I","  ","       "," ","27","30","22","29","27","108","59","53","2 ","61","9 ","57","99","  ","  ","","1356","13","15","17","15","15","13","10","78","92","96","95","95","76","47","62","87","91","89","89","56","24","81","62","89","87","82","75","        ","23","18","24","20","17","1  1 311  462462   223 211111 11             12222 212 1221 1221966 4131114        95562341715 17388666 9   1111112222 222 1221 1   11                ","LYONS.TED@YAHOO.COM                               ","1","34","2"," "," "," "," ","5"," "," ","1","1","2","2","3","1","1","1","1","2","3","2","3","1","1","2","1","1","3","1","1","3","3","1","3","3","3","3","1","3","3","4"," "," "," ","3","3","3","4"," "," "," "," ","3","3"," ","4","3"," ","3","4"," "," ","4"," "," "," "," ","4"," ","          ","7588358874------------------------------------------------------------","85","94","60","95","87","0"
"14","CLEIN                    ","JERRY           ","D","AF1 ONE' QUOTE                          ","US","4M","15","-91400021","1","010192","5061723456","KEY-WEST                 ","10","FL","33040    ","19920101","25","08","7986","3342    ","          ","             ","144285","40","40","40","35","388","2010","201311","1113","I","  ","       "," ","26","27","30","33","29","116","55","41","3 ","57","4 ","41","99","  ","  ","","1356","12","16","17","13","13","15","17","71","98","96","83","82","88","97","90","99","99","95","94","98","99","69","18","23","75","65","18","        ","22","15","22","19","  ","1  1 311  899880   125  1                      1       1     213844 513114419      93352176414 17355355        11          1       1              11  ","                                                  ","1","34","2"," "," "," "," ","5"," "," ","1","1","1","2","3","1","1","1","3","3","2","3","3","1","1","2","1","3","3","1","2","1","2","1","3","3","3","3","3","3","4","4","4"," "," ","4","4","4"," "," "," "," "," ","4","3"," ","4"," "," ","4"," ","4"," ","4"," "," "," "," "," "," ","          ","9697999999999999--------------779989--------------274031--------------","82","88","91","99","93","0"
"14","MERVIS                   ","ERIC            ","V","821 OTTO RD                             ","US","6F","14","-91400022","1","022394","          ","LINCOLN                  ","28","NE","685093249","19940223","29","08","9386","42      ","          ","             ","140187","30","40","37","35","354","2012","201402","0214","R","  ","       "," ","32","25","29","24","28","110","55","62","6 ","65","9 ","41","12","01","02","","1356","17","16","13","13","12","17","13","96","98","74","83","72","97","71","94","95","50","66","45","96","54","69","89","94","93","45","18","        ","30","14","23","18","  ","1  1 311  999301   323        1                           1  112977 513111414      94264153716 17388688999  1 1     1   1  1       1              1   ","MERVIS.ERIC@YAHOO.COM                             ","2","34","2"," "," "," "," ","5"," "," ","1","1","1","2","3","1","1","1","2","2","3","3","3","1","1","1","1","1","3","1","3","1","1","1","3","3","3","3","3","3","3","3"," "," "," ","4"," ","4"," "," "," "," "," ","4","3"," ","4","3"," "," "," ","4"," ","4"," "," "," "," "," "," ","          ","925678538273------------------96------------------30------------------","96","79","87","77","91","0"
